CNES - Recursos Físicos - Ambulatório - Consultórios - Brasil
Clin.Especializada por Município
Período:Jul/2024
"Município";"Clin.Especializada"
"430905 GLORINHA";1
"430910 GRAMADO";70
"430915 GRAMADO XAVIER";1
"430920 GRAVATAI";203
"430930 GUAIBA";43
"430940 GUAPORE";79
"430955 HARMONIA";3
"430960 HORIZONTINA";12
"430965 HULHA NEGRA";1
"430970 HUMAITA";5
"430980 IBIACA";5
"430990 IBIRAIARAS";10
"431000 IBIRUBA";13
"431010 IGREJINHA";44
"431020 IJUI";104
"431033 IMBE";11
"431036 IMIGRANTE";4
"431040 INDEPENDENCIA";13
"431050 IRAI";1
"431053 ITAARA";22
"431060 ITAQUI";29
"431065 ITATI";8
"431070 ITATIBA DO SUL";2
"431080 IVOTI";15
"431085 JABOTICABA";9
"431090 JACUTINGA";1
"431100 JAGUARAO";4
"431110 JAGUARI";3
"431112 JAQUIRANA";2
"431113 JARI";1
"431115 JOIA";4
"431120 JULIO DE CASTILHOS";21
"431125 LAGOAO";2
"431130 LAGOA VERMELHA";10
"431140 LAJEADO";250
"431142 LAJEADO DO BUGRE";1
"431160 LIBERATO SALZANO";1
"431162 LINDOLFO COLLOR";1
"431170 MACHADINHO";1
"431179 MARATA";6
"431180 MARAU";120
"431198 MARIANA PIMENTEL";3
"431205 MARQUES DE SOUZA";4
"431215 MATO LEITAO";1
"431225 MINAS DO LEAO";6
"431235 MONTAURI";7
"431240 MONTENEGRO";69
"431247 MORRO REUTER";3
"431250 MOSTARDAS";5
"431260 MUCUM";4
"431262 MULITERNO";2
"431265 NAO-ME-TOQUE";28
"431270 NONOAI";3
"431275 NOVA ALVORADA";2
"431280 NOVA ARACA";1
"431290 NOVA BASSANO";5
"431295 NOVA BOA VISTA";4
"431300 NOVA BRESCIA";4
"431301 NOVA CANDELARIA";3
"431306 NOVA HARTZ";4
"431310 NOVA PALMA";4
"431320 NOVA PETROPOLIS";31
"431330 NOVA PRATA";28
"431337 NOVA SANTA RITA";8
"431339 NOVO CABRAIS";2
"431340 NOVO HAMBURGO";379
"431342 NOVO MACHADO";2
"431344 NOVO TIRADENTES";1
"431350 OSORIO";46
"431360 PAIM FILHO";1
"431365 PALMARES DO SUL";6
"431370 PALMEIRA DAS MISSOES";104
"431390 PANAMBI";49
"431395 PANTANO GRANDE";12
"431400 PARAI";22
"431405 PAROBE";46
"431406 PASSA SETE";1
"431407 PASSO DO SOBRADO";3
"431410 PASSO FUNDO";856
"431413 PAULO BENTO";1
"431415 PAVERAMA";1
"431420 PEDRO OSORIO";3
"431430 PEJUCARA";5
"431440 PELOTAS";580
"431447 PINHAL GRANDE";4
"431454 PINTO BANDEIRA";7
"431460 PIRATINI";2
"431470 PLANALTO";1
"431475 POCO DAS ANTAS";3
"431477 PONTAO";2
"431480 PORTAO";34
"431490 PORTO ALEGRE";3226
"431500 PORTO LUCENA";1
"431505 PORTO MAUA";2
"431507 PORTO VERA CRUZ";2
"431510 PORTO XAVIER";3
"431514 PRESIDENTE LUCENA";6
"431515 PROGRESSO";1
"431520 PUTINGA";1
"431530 QUARAI";24
"431532 QUEVEDOS";3
"431540 REDENTORA";1
"431545 RELVADO";1
"431550 RESTINGA SECA";6
"431560 RIO GRANDE";131
"431570 RIO PARDO";37
"431575 RIOZINHO";1
"431580 ROCA SALES";6
"431590 RODEIO BONITO";20
"431600 ROLANTE";10
"431610 RONDA ALTA";3
"431620 RONDINHA";2
"431630 ROQUE GONZALES";1
"431640 ROSARIO DO SUL";39
"431645 SALTO DO JACUI";2
"431650 SALVADOR DO SUL";6
"431660 SANANDUVA";14
"431670 SANTA BARBARA DO SUL";4
"431675 SANTA CLARA DO SUL";9
"431680 SANTA CRUZ DO SUL";405
"431690 SANTA MARIA";688
"431695 SANTA MARIA DO HERVAL";4
"431697 SANTA MARGARIDA DO SUL";2
"431700 SANTANA DA BOA VISTA";1
"431710 SANT'ANA DO LIVRAMENTO";31
"431720 SANTA ROSA";128
"431725 SANTA TEREZA";1
"431730 SANTA VITORIA DO PALMAR";10
"431740 SANTIAGO";50
"431750 SANTO ANGELO";104
"431760 SANTO ANTONIO DA PATRULHA";78
"431770 SANTO ANTONIO DAS MISSOES";1
"431775 SANTO ANTONIO DO PLANALTO";1
"431780 SANTO AUGUSTO";14
"431790 SANTO CRISTO";33
"431800 SAO BORJA";67
"431810 SAO FRANCISCO DE ASSIS";11
"431820 SAO FRANCISCO DE PAULA";5
"431830 SAO GABRIEL";46
"431840 SAO JERONIMO";26
"431842 SAO JOAO DA URTIGA";1
"431843 SAO JOAO DO POLESINE";2
"431844 SAO JORGE";1
"431846 SAO JOSE DO HERVAL";1
"431848 SAO JOSE DO HORTENCIO";3
"431849 SAO JOSE DO INHACORA";5
"431850 SAO JOSE DO NORTE";9
"431860 SAO JOSE DO OURO";8
"431862 SAO JOSE DOS AUSENTES";1
"431870 SAO LEOPOLDO";279
"431880 SAO LOURENCO DO SUL";11
"431890 SAO LUIZ GONZAGA";40
"431900 SAO MARCOS";16
"431910 SAO MARTINHO";4
"431912 SAO MARTINHO DA SERRA";3
"431930 SAO PAULO DAS MISSOES";1
"431935 SAO PEDRO DA SERRA";3
"431940 SAO PEDRO DO SUL";18
"431950 SAO SEBASTIAO DO CAI";43
"431960 SAO SEPE";13
"431970 SAO VALENTIM";3
"431975 SAO VENDELINO";2
"431980 SAO VICENTE DO SUL";5
"431990 SAPIRANGA";21
"432000 SAPUCAIA DO SUL";108
"432010 SARANDI";29
"432020 SEBERI";8
"432040 SERAFINA CORREA";18
"432050 SERTAO";4
"432055 SERTAO SANTANA";8
"432060 SEVERIANO DE ALMEIDA";4
"432067 SINIMBU";3
"432070 SOBRADINHO";13
"432080 SOLEDADE";44
"432085 TABAI";4
"432090 TAPEJARA";35
"432100 TAPERA";16
"432120 TAQUARA";54
"432130 TAQUARI";23
"432132 TAQUARUCU DO SUL";4
"432135 TAVARES";3
"432140 TENENTE PORTELA";21
"432143 TERRA DE AREIA";2
"432145 TEUTONIA";59
"432146 TIO HUGO";1
"432149 TOROPI";2
"432150 TORRES";139
"432160 TRAMANDAI";70
"432162 TRAVESSEIRO";1
"432163 TRES ARROIOS";1
"432166 TRES CACHOEIRAS";10
"432170 TRES COROAS";5
"432180 TRES DE MAIO";93
"432183 TRES FORQUILHAS";4
"432185 TRES PALMEIRAS";3
"432190 TRES PASSOS";8
"432200 TRIUNFO";22
"432210 TUCUNDUVA";4
"432218 TUPANCI DO SUL";1
"432220 TUPANCIRETA";24
"432225 TUPANDI";3
"432230 TUPARENDI";6
"432232 TURUCU";1
"432237 UNISTALDA";2
"432240 URUGUAIANA";116
"432250 VACARIA";77
"432254 VALE REAL";2
"432260 VENANCIO AIRES";81
"432270 VERA CRUZ";23
"432280 VERANOPOLIS";17
"432285 VESPASIANO CORREA";1
"432290 VIADUTOS";1
"432300 VIAMAO";67
"432330 VILA FLORES";1
"432340 VILA MARIA";26
"432345 VILA NOVA DO SUL";4
"432377 WESTFALIA";1
"432380 XANGRI-LA";18
"500025 ALCINOPOLIS";4
"500060 AMAMBAI";10
"500070 ANASTACIO";5
"500080 ANAURILANDIA";7
"500100 APARECIDA DO TABOADO";10
"500110 AQUIDAUANA";41
"500124 ARAL MOREIRA";2
"500150 BANDEIRANTES";3
"500190 BATAGUASSU";14
"500210 BELA VISTA";12
"500215 BODOQUENA";5
"500220 BONITO";15
"500230 BRASILANDIA";8
"500240 CAARAPO";53
"500260 CAMAPUA";7
"500270 CAMPO GRANDE";721
"500280 CARACOL";5
"500290 CASSILANDIA";31
"500295 CHAPADAO DO SUL";29
"500315 CORONEL SAPUCAIA";1
"500320 CORUMBA";41
"500325 COSTA RICA";41
"500330 COXIM";19
"500345 DEODAPOLIS";8
"500350 DOURADINA";12
"500370 DOURADOS";285
"500375 ELDORADO";5
"500380 FATIMA DO SUL";7
"500410 GUIA LOPES DA LAGUNA";4
"500430 IGUATEMI";8
"500440 INOCENCIA";4
"500450 ITAPORA";1
"500470 IVINHEMA";11
"500490 JARAGUARI";2
"500500 JARDIM";35
"500510 JATEI";1
"500515 JUTI";2
"500520 LADARIO";1
"500540 MARACAJU";34
"500560 MIRANDA";3
"500568 MUNDO NOVO";4
"500570 NAVIRAI";15
"500580 NIOAQUE";1
"500600 NOVA ALVORADA DO SUL";13
"500620 NOVA ANDRADINA";71
"500627 PARAISO DAS AGUAS";6
"500630 PARANAIBA";59
"500635 PARANHOS";2
"500640 PEDRO GOMES";1
"500660 PONTA PORA";55
"500690 PORTO MURTINHO";4
"500710 RIBAS DO RIO PARDO";3
"500720 RIO BRILHANTE";8
"500730 RIO NEGRO";1
"500740 RIO VERDE DE MATO GROSSO";3
"500750 ROCHEDO";1
"500755 SANTA RITA DO PARDO";2
"500769 SAO GABRIEL DO OESTE";38
"500780 SELVIRIA";3
"500790 SIDROLANDIA";47
"500793 SONORA";6
"500795 TACURU";4
"500800 TERENOS";5
"500830 TRES LAGOAS";212
"500840 VICENTINA";1
"510020 AGUA BOA";46
"510025 ALTA FLORESTA";73
"510030 ALTO ARAGUAIA";6
"510035 ALTO BOA VISTA";1
"510040 ALTO GARCAS";5
"510050 ALTO PARAGUAI";1
"510060 ALTO TAQUARI";2
"510125 ARAPUTANGA";7
"510130 ARENAPOLIS";1
"510140 ARIPUANA";13
"510170 BARRA DO BUGRES";11
"510180 BARRA DO GARCAS";107
"510185 BOM JESUS DO ARAGUAIA";1
"510190 BRASNORTE";3
"510250 CACERES";134
"510260 CAMPINAPOLIS";2
"510263 CAMPO NOVO DO PARECIS";39
"510267 CAMPO VERDE";41
"510268 CAMPOS DE JULIO";8
"510269 CANABRAVA DO NORTE";1
"510270 CANARANA";19
"510279 CARLINDA";2
"510285 CASTANHEIRA";2
"510300 CHAPADA DOS GUIMARAES";17
"510305 CLAUDIA";9
"510310 COCALINHO";2
"510320 COLIDER";44
"510330 COMODORO";4
"510335 CONFRESA";21
"510336 CONQUISTA D'OESTE";1
"510337 COTRIGUACU";3
"510340 CUIABA";1354
"510343 CURVELANDIA";1
"510345 DENISE";2
"510350 DIAMANTINO";38
"510360 DOM AQUINO";1
"510370 FELIZ NATAL";4
"510390 GENERAL CARNEIRO";2
"510395 GLORIA D'OESTE";1
"510410 GUARANTA DO NORTE";73
"510420 GUIRATINGA";1
"510454 ITANHANGA";4
"510460 ITIQUIRA";3
"510480 JACIARA";31
"510500 JAURU";2
"510510 JUARA";25
"510515 JUINA";42
"510517 JURUENA";1
"510520 JUSCIMEIRA";5
"510525 LUCAS DO RIO VERDE";56
"510558 MARCELANDIA";2
"510560 MATUPA";2
"510562 MIRASSOL D'OESTE";51
"510590 NOBRES";4
"510600 NORTELANDIA";2
"510610 NOSSA SENHORA DO LIVRAMENTO";1
"510615 NOVA BANDEIRANTES";1
"510619 NOVA SANTA HELENA";2
"510620 NOVA BRASILANDIA";5
"510621 NOVA CANAA DO NORTE";2
"510622 NOVA MUTUM";111
"510623 NOVA OLIMPIA";12
"510624 NOVA UBIRATA";3
"510625 NOVA XAVANTINA";32
"510626 NOVO MUNDO";1
"510627 NOVO HORIZONTE DO NORTE";3
"510628 NOVO SAO JOAQUIM";1
"510629 PARANAITA";10
"510630 PARANATINGA";2
"510631 NOVO SANTO ANTONIO";2
"510637 PEDRA PRETA";2
"510642 PEIXOTO DE AZEVEDO";18
"510645 PLANALTO DA SERRA";2
"510650 POCONE";14
"510675 PONTES E LACERDA";59
"510680 PORTO DOS GAUCHOS";3
"510685 PORTO ESTRELA";1
"510700 POXOREO";2
"510704 PRIMAVERA DO LESTE";86
"510706 QUERENCIA";13
"510710 SAO JOSE DOS QUATRO MARCOS";16
"510718 RIBEIRAO CASCALHEIRA";1
"510720 RIO BRANCO";1
"510724 SANTA CARMEM";1
"510726 SANTO AFONSO";1
"510730 SAO JOSE DO RIO CLARO";14
"510735 SAO JOSE DO XINGU";2
"510740 SAO PEDRO DA CIPA";4
"510757 RONDOLANDIA";1
"510760 RONDONOPOLIS";342
"510770 ROSARIO OESTE";6
"510774 SANTA CRUZ DO XINGU";1
"510775 SALTO DO CEU";2
"510776 SANTA RITA DO TRIVELATO";3
"510777 SANTA TEREZINHA";2
"510779 SANTO ANTONIO DO LESTE";6
"510785 SAO FELIX DO ARAGUAIA";8
"510787 SAPEZAL";17
"510790 SINOP";599
"510792 SORRISO";120
"510794 TABAPORA";8
"510795 TANGARA DA SERRA";101
"510800 TAPURAH";4
"510805 TERRA NOVA DO NORTE";1
"510820 TORIXOREU";2
"510830 UNIAO DO SUL";2
"510835 VALE DE SAO DOMINGOS";1
"510840 VARZEA GRANDE";146
"510850 VERA";13
"510860 VILA RICA";4
"510880 NOVA GUARITA";2
"510885 NOVA MARILANDIA";1
"510890 NOVA MARINGA";1
"510895 NOVA MONTE VERDE";1
"520005 ABADIA DE GOIAS";10
"520010 ABADIANIA";4
"520013 ACREUNA";9
"520015 ADELANDIA";2
"520017 AGUA FRIA DE GOIAS";2
"520020 AGUA LIMPA";1
"520025 AGUAS LINDAS DE GOIAS";31
"520030 ALEXANIA";9
"520055 ALTO HORIZONTE";4
"520090 AMORINOPOLIS";2
"520110 ANAPOLIS";404
"520130 ANICUNS";27
"520140 APARECIDA DE GOIANIA";229
"520160 ARACU";2
"520170 ARAGARCAS";5
"520235 ARENOPOLIS";2
"520260 AURILANDIA";1
"520320 BARRO ALTO";4
"520330 BELA VISTA DE GOIAS";19
"520340 BOM JARDIM DE GOIAS";12
"520350 BOM JESUS DE GOIAS";15
"520355 BONFINOPOLIS";1
"520360 BRAZABRANTES";1
"520390 BURITI ALEGRE";3
"520400 CABECEIRAS";1
"520410 CACHOEIRA ALTA";9
"520425 CACHOEIRA DOURADA";3
"520430 CACU";8
"520440 CAIAPONIA";1
"520450 CALDAS NOVAS";90
"520460 CAMPESTRE DE GOIAS";1
"520470 CAMPINORTE";8
"520485 CAMPO LIMPO DE GOIAS";4
"520490 CAMPOS BELOS";3
"520500 CARMO DO RIO VERDE";2
"520510 CATALAO";220
"520530 CAVALCANTE";1
"520540 CERES";209
"520545 CEZARINA";3
"520547 CHAPADAO DO CEU";22
"520549 CIDADE OCIDENTAL";18
"520551 COCALZINHO DE GOIAS";12
"520570 CORREGO DO OURO";1
"520580 CORUMBA DE GOIAS";1
"520590 CORUMBAIBA";1
"520620 CRISTALINA";22
"520630 CRISTIANOPOLIS";2
"520640 CRIXAS";12
"520680 DAMOLANDIA";1
"520725 DOVERLANDIA";2
"520735 EDEALINA";1
"520740 EDEIA";6
"520780 FIRMINOPOLIS";17
"520790 FLORES DE GOIAS";3
"520800 FORMOSA";82
"520810 FORMOSO";3
"520815 GAMELEIRA DE GOIAS";6
"520840 GOIANAPOLIS";8
"520860 GOIANESIA";79
"520870 GOIANIA";3216
"520880 GOIANIRA";5
"520890 GOIAS";37
"520910 GOIATUBA";27
"520920 GUAPO";2
"520970 HIDROLANDIA";8
"520980 HIDROLINA";1
"520990 IACIARA";2
"520995 INDIARA";2
"521000 INHUMAS";55
"521010 IPAMERI";35
"521015 IPIRANGA DE GOIAS";1
"521020 IPORA";55
"521040 ITABERAI";32
"521060 ITAGUARU";5
"521090 ITAPACI";4
"521100 ITAPIRAPUA";4
"521120 ITAPURANGA";16
"521130 ITARUMA";1
"521150 ITUMBIARA";239
"521160 IVOLANDIA";2
"521170 JANDAIA";2
"521180 JARAGUA";47
"521190 JATAI";271
"521205 JESUPOLIS";2
"521220 JUSSARA";10
"521225 LAGOA SANTA";1
"521250 LUZIANIA";264
"521280 MARA ROSA";8
"521300 MAURILANDIA";9
"521305 MIMOSO DE GOIAS";1
"521308 MINACU";5
"521310 MINEIROS";142
"521370 MONTES CLAROS DE GOIAS";4
"521375 MONTIVIDIU";7
"521377 MONTIVIDIU DO NORTE";1
"521380 MORRINHOS";25
"521400 MOZARLANDIA";9
"521405 MUNDO NOVO";1
"521440 NAZARIO";6
"521450 NEROPOLIS";45
"521460 NIQUELANDIA";18
"521470 NOVA AMERICA";3
"521483 NOVA CRIXAS";3
"521500 NOVA VENEZA";2
"521523 NOVO GAMA";28
"521525 NOVO PLANALTO";6
"521530 ORIZONA";8
"521550 OUVIDOR";5
"521560 PADRE BERNARDO";12
"521570 PALMEIRAS DE GOIAS";15
"521580 PALMELO";1
"521590 PALMINOPOLIS";1
"521630 PARANAIGUARA";5
"521640 PARAUNA";3
"521645 PEROLANDIA";2
"521680 PETROLINA DE GOIAS";6
"521710 PIRACANJUBA";15
"521720 PIRANHAS";5
"521730 PIRENOPOLIS";2
"521740 PIRES DO RIO";58
"521760 PLANALTINA";17
"521770 PONTALINA";18
"521800 PORANGATU";43
"521830 POSSE";22
"521850 QUIRINOPOLIS";102
"521860 RIALMA";37
"521878 RIO QUENTE";1
"521880 RIO VERDE";393
"521890 RUBIATABA";13
"521900 SANCLERLANDIA";4
"521930 SANTA HELENA DE GOIAS";40
"521940 SANTA RITA DO ARAGUAIA";1
"521950 SANTA ROSA DE GOIAS";1
"521970 SANTA TEREZINHA DE GOIAS";1
"521971 SANTO ANTONIO DA BARRA";6
"521973 SANTO ANTONIO DE GOIAS";1
"521975 SANTO ANTONIO DO DESCOBERTO";7
"521990 SAO FRANCISCO DE GOIAS";8
"522000 SAO JOAO D'ALIANCA";3
"522010 SAO LUIS DE MONTES BELOS";85
"522015 SAO LUIZ DO NORTE";5
"522020 SAO MIGUEL DO ARAGUAIA";8
"522040 SAO SIMAO";13
"522045 SENADOR CANEDO";85
"522050 SERRANOPOLIS";1
"522060 SILVANIA";12
"522119 TEREZOPOLIS DE GOIAS";1
"522130 TRES RANCHOS";2
"522140 TRINDADE";70
"522145 TROMBAS";2
"522155 TURVELANDIA";1
"522157 UIRAPURU";2
"522160 URUACU";51
"522170 URUANA";7
"522180 URUTAI";3
"522185 VALPARAISO DE GOIAS";48
"522200 VIANOPOLIS";2
"530010 BRASILIA";6211
"Total";215014
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
